Rank,Marks
1,320
101,234
201,213
301,196
401,184
501,176
601,170
701,165
801,160
901,156
1001,152
1101,149
1201,146
1301,143
1401,141
1501,139
1601,137
1701,136
1801,134
1901,132
2001,130
2101,129
2201,128
2301,126
2401,125
2501,124
2601,123
2701,121
2801,119
2901,118
3001,116
3101,115
3201,113
3301,112
3401,111
3501,110
3601,109
3701,108
3801,107
3901,106
4001,105
4101,104
4201,103
4301,102
4401,101
4501,100
4601,99
4701,98
4801,97
4901,96
5001,95
5101,94
5201,93
5301,92
5401,91
5501,90
5601,89
5701,88
5801,87
5901,86
6001,85
6101,84
6201,83
6301,82
6401,81
6501,80
6601,79
6701,78
6801,77
6901,76
7001,75
7101,74
7201,73
7301,72
7401,71
7501,70
7601,69
7701,68
7801,67
7901,66
8001,65
8101,64
8201,63
8301,62
8401,61
8501,60
8601,59
8701,58
8801,57
8901,56
9001,55
9101,54
9201,53
9301,52
9401,51
9501,50
